Text2,Text1,Score
Человек в оранжевой рубашке говорит в микрофон за компьютером.,Человек в оранжевом жилете сидит перед компьютером за столом.,0.67
"Поверь мне, я буду держать глаза подальше от этого.","Поверь мне, я не отпущу это из виду.",0.66
Вид значка обнаружил ошибку во время начала.,Невозможно удалить конфигурацию просмотра значков.,0.66
"Два строителя в оранжевых жилетах и шлемах, окруженных желтой предупредительной лентой, работают над смешиванием краски или бетона.","Два члена экипажа в оранжевом и желтом предохранительном снаряжении держат длинную, толстую дорогу, которая проходит через край конструкции.",0.66
"Ким Ю На родилась в 1990 году в Бучхоне, Кёнги-до, и переехала в Ганпо, когда ей было 6 лет.","Ким Ю На начала кататься на коньках, когда ей было семь лет со своей старшей сестрой.",0.66
"Однако, если бы ты был просто фанатом ужасов, я бы пропустил Лавкрафт.","По-моему, в этом суть Лавкрафта, ужас в самом великом масштабе.",0.66
Президент Джон Эванс Атта-Миллс должен отступить сейчас - NPP Германия,Президент Миллс должен уйти - лектор,0.66
Завоевали медаль каждого цвета на чемпионате мира по фигурному катанию с 2000 по 2002 год.,"В 2002 году они выиграли чемпионат мира по фигурному катанию, заняв ряд медалей на этом событии.",0.66
"Просто хочу подарить большой хлам моему мужчине #1 в наши дни @realDonaldTrump, покончим с этим, здоровяк!","@realDonaldTrump Это восхитительно, как вы готовы потерять спонсоров ради большего блага.",0.66
Баскетболист одет в оранжевые кроссовки.,Баскетболист в оранжевой форме смотрит назад.,0.66
"Просто наслаждайся её музыкой, но не ее поклонниками, почему?","Никто из ее поклонников не знает, почему?",0.66
"Не совсем, ты должен быть судьей.",Я так не думаю; вам придется решить.,0.66
"Идите на сайт ""Потерянные"" и посмотрите!",Почему бы тебе просто не проверить его сайт.,0.66
"Оттуда Стурт использовал маленькую лодку, чтобы спуститься по реке, и 14 января 1830 года добрался до реки Мюррей.","В январе 1830 года вечеринка Стурта достигла слияния Муррумбиджи и гораздо более крупной реки, которую Штурт назвал рекой Мюррей.",0.66
В таких обстоятельствах система абсолютной безопасности не была создана.,В данных обстоятельствах никакая система безопасности не может быть такой абсолютной.,0.66
"Эта разнородная тарелка часто покрывается сахаром, маслом, фруктами, сиропом или другими вещами.","Плоды тонкие, пропитанные или приготовленные в меде или сахаре, чтобы создать кусочек сиропа.",0.66
Он согласился с трудностями.,С трудом он получил свою подпись.,0.66
Зачем они пришли на закрытую станцию?,Эта станция должна быть закрыта.,0.66
"Продавцы продают свои товары на внешнем продовольственном рынке, а покупатели покупают их.","Продавец на открытом рынке добирается до полюса, чтобы сбить дождевую воду с брезента, покрывающего ее кабинку.",0.66
"Типичная Нора Робертс, когда она притягивает тебя.",Как всегда... никогда еще не читала плохого Нору Робертс!,0.66
Добеле () — город в Латвии с 1917 года.,"В городе Добеле имеется культурный центр, а также музей.",0.66
"Это даже вполовину не так хорошо, как песня Джилл Собуле ""Я поцеловал девушку"" .","Даже пародии ""Я поцеловал девушку"" видят успех в карте.",0.66
"ТНК-БП имеет шесть нефтедобывающих установок, пять нефтеперерабатывающих заводов и 2100 заправочных станций.",Это предприятие владеет пятью нефтеперерабатывающими заводами и более чем 2 100 заправочными станциями в России и Украине.,0.66
Если вы используете программу обмена файлами...,"Это обмен файлами, кстати.",0.66
"Мануэль Мариньо Алвис, известный как Манека, был бразильским футболистом в роли забастовщика.","Nilo Murtinho Braga — бразильский футболист, известный как Nilo.",0.66
Хорошее чувство - это экономика.,Что это за выражение? Чувствую себя хорошо в экономике.,0.66
"Повреждены окружающие здания, разбиты окна окружающих зданий.",Даже окна раздуваются из жилых зданий.,0.66
Длинноволосая чёрная и коричневая собака бегает по траве.,Две собаки борются в траве с забором на заднем плане.,0.66
"Это не идеальный мир, но он выдержал, так же, как у Гленна и ее отца есть свой собственный маленький путь.","Гленн - героиня, враждующая, которая вынуждена вести переговоры между своей собственной повесткой дня и задачами, которые были ей приложены обстоятельствами.",0.66
"Наушахро Ферозе () — город в округе Наушахро Ферозе, Синд, Пакистан.",Это перекрестная станция с отключенной ветвью до Наушахро Ферозе.,0.66
Температура упала на два-три градуса.,"Температура упала, а также температура сердца.",0.66
"Может быть, в следующем году в Риви, может в Стардасте.","Он может быть в ""Старпы"" в следующем году.",0.66
Наездник на сноуборде прыгает высоко на своем сноуборде в снегу.,Человек в черном прыгает на сноуборд.,0.66
"Но Пратчетт забавный, я много раз смеялся, читая это.","Читая его, я поняла, почему Терри Пратчетт один из самых читаемых авторов.",0.66
"СЕДЬМАЯ Желание Кейт Месснер смешивает повседневную жизнь с рыбой, дающей желание.","Однако, Кейт Месснер не могла написать его более точно, чем она.",0.66
"@realDonaldTrump Сэр, я просто хочу, чтобы вы знали, что вы будете величайшим президентом этого поколения!","Люди: Дональд Трамп - человек, который может вести страну в будущее.",0.66
Это история Коннора О'Дуайера и Майры Куинн.,"Когда на Коннора нападает Кабхан, это делает Меару совершенно неподражаемой.",0.66
"Дейзи Джордано - единственная ""норма"" в семье экстрасенсов.",Гист Дейзи Джордано странная в своей семье.,0.66
"Команды школ участвуют в конференции ""Солнечный пояс"".","Спортивные команды ЮНО участвуют в конференции ""Солнечный пояс"".",0.66
"Если это так, я знаю, куда двигаюсь.","Если случится это событие, я знаю, куда я хочу переехать.",0.66
Людвиг фон Бреннер был немецким дирижёром и композитором.,Бруно Уолтер был немецким дирижёром и композитором.,0.66
"Мэр может сбежать из тюрьмы, пока не закончится время?","Мне больше всего понравилась эта история, но слишком много времени было потрачено на то, чтобы жить на Мар как пленник.",0.66
Ещё раз Эми Хармон очаровала меня своим невероятным талантом.,"В простом, но красноречивом лирическом написании Эми Хармон было что-то другое.",0.64
Она начала ежегодную Еврейскую книжную неделю в 1926 году.,Ей повезло начать ежегодную Еврейскую книжную неделю в Израиле.,0.63
"Удалив замок, она нажала на ворота.",Врата начали открываться перед тренером.,0.63
"** Тревога спойлера ** (3,5 звезды)","Это было самым большим падением для меня и причиной, по которой я должен был дать ему только 3,5 звезды.",0.62
"Это означает, что Tipulidae является самой большой группой мух.",Это делает Tipulidae самой большой семьей Diptera.,0.62
Три человека борются с быком на родео.,Трое мужчин ездят на лошадях в родео.,0.62
"В 1982 году журнал People сказал, что Вигода умер, хотя и не умер.","Вигода родилась в Нью-Йорке, сын Лены и Самуэля Вигоды, еврейских иммигрантов из России.",0.62
"В состав группы входят вокалист Сонни Сандовал, барабанщик Вув Бернардо, гитарист Маркос Кюриэль и басист Тра Дэниелс.","Первичный состав состоял из вокалиста Роджера Далтри, гитариста Пита Тауншенда, басиста Джона Энтвистла и барабанщика Кита Муна.",0.62
"У нас с женой изначально была такая же проблема, когда наши новорожденные близнецы ссорились, когда время ванны закончилось.","Наша дочь всегда любила ванну, но выходила... не так сильно.",0.62
Большая собака стоит рядом с овцой на поле.,Овцы стоят на поле.,0.62
"Я ничего не отдам, но мы видим, как Дороти превращается в человека, которого она в Дороти должна убить.","И я, конечно, не позволю этому помешать мне прочитать ее новый роман, Дороти должна умереть.",0.62
"Они были не очень хороши, поэтому он получил разрешение короля на создание другой группы, которую он назвал Питс Виолон.","Он устал от отсутствия дисциплины в Гранд-Банде и, с разрешения короля, образовал свои собственные петитские виолончели.",0.62
"Когда ты упал с небес, что ты сказал?","Больно было, когда ты упал с небес?",0.62
"Франция, которая раздражала Вашингтон, возглавив обвинение против ООН в войне, также добивалась перемен.","Один из вопросов заключался в том, будет ли Франция, которая раздражала Вашингтон, возглавив обвинение против разрешения ООН на войну, голосовать «да» или воздержаться.",0.62
Просто смотри на Йо Маму на MTV,Ему нравится это шоу Йо Мама.,0.62
Это задание займет от пяти до десяти минут.,"Это заняло у меня пять минут, но я закончил.",0.62
"@realDonaldTrump. Давайте признаем, что мы стали пассивной, инертной нацией, контролируемой головорезов и распространителей.",@realDonaldTrump @PamplinFilmCo. Нам нужно немного баллза обратно в WH.,0.62
В последние годы в Японии больше зоопарков размножают красные панды.,До недавнего времени красные панды были захвачены и проданы в зоопарки.,0.62
Девочка показывает маленькому ребенку свою камеру.,Маленький ребёнок фотографирует с камерой на тройке.,0.62
Песня капитана планеты застряла у меня в голове.,У меня в голове застряла эта песня.,0.62
"Просто полегче с ними. Они делают все лучше, чем Р.Аттералл, не каждый Р!","Полегче с ними, они лучшие в том, что они есть, в конце концов, не все такие.",0.62
Два человека сидят на пляже на закате.,Ребёнок играет на пляжном песке во время заката.,0.62
"Также считается, что два рода: прогономия и Карнимата непосредственно связаны с Antemus .","Прогономия считается предком Мусы и его родственников, в то время как Карнимата, как считается, ведет к Раттусу и родственникам.",0.62
"Все дети, предназначенные для Минга, будут отправлены домой прямо сейчас.","Отправь домой всех детей, которые будут предложены Мингу!",0.62
Небо сияло сквозь дверь.,Через открытый дверной вентиль яркость неба сияла.,0.62
@realDonaldTrump только что наблюдал за тобой в @FoxNews. Ты потрясающий! У тебя мой голос! #MakeAmericaGreatAgain,@realDonaldTrump Вы - карточка моего сердца.,0.62
"Азианские уличные торговцы ждут там, чтобы продать товар.",Женщина продает товар на углу улицы с опущенными столами и простынями.,0.62
Три музыканта выступают на гитарах во время пения.,Три девушки проводят рутину на сцене.,0.62
"Самая известная работа Канта — это книга Критика чистой причины, которую Кант опубликовал в 1781 году.","В 1787 году Кант опубликовал второе издание «Критика чистого разума», серьезно отредактировав первые части книги .",0.62
"Fornjot , или Saturn XLII, — естественный спутник Saturn.",S/2004 S 13 — природный спутник Сатурна.,0.62
"Второй словарь, называемый Svenska Akademiens Ordbok, настолько большой, что ему нужно много книг, таких как Оксфордский английский словарь.","Второй — многотомный словарь, отредактированный на принципах, аналогичных принципам Оксфордского английского словаря под названием Svenska Akademiens Ordbok.",0.62
Дети играют в баскетбол на открытом дворе.,Дети играют в открытом парке брызг.,0.62
"В целом, это хорошая книга.","Хорошо, но не так хорошо, как другие ее книги.",0.62
"Таким образом, антидемпинговые меры не подпадают под действие антидемпинговых мер.","Таким образом, на эти импортные товары не распространяются антидемпинговые меры.",0.62
"После того, как Синдер возьмется за работу в замке, Элла должна позаботиться о семье.","Синдер и Элла - средние сестры в той, которая когда-то была счастливой семьёй из шести.",0.62
Выпущена в канун Рождества на сайте Itunes и других веб-сайтах.,Он был выпущен в канун Рождества 2007 года.,0.62
"Рашвилл () — город в США, входит в штат Индиана.","Рашвилль расположен в , вдоль реки Флэтрок.",0.62
Послушайте Веронику Рот. Отличный старт для антологии короткометражных рассказов Shards & Ashes.,"Послушай Веронику Рот 2/5 звёзд, я думаю, это страдало от слишком короткоты.",0.62
"Это была хорошая история со многими карибскими фольклорами (что-то, о чем я не читал раньше).","Этот карибский народный сюжет - это быстро читатель, где действие снежного шара превращается в захватывающий кульминационный момент.",0.62
"Молодая фея Флори взрослеет, узнает о себе и о своем мире, и она в ярости.",Флори - дерзкая молодая фея.,0.62
"В 1890 году сезон ураганов в Атлантике был одним из наименее активных сезонов ураганов, всего 4 шторма.","В 1890 году сезон ураганов в Атлантике прошёл летом, а в 1890 году — в первой половине осени.",0.62
"Дюваль была очень зла на свою дочь Кэролайн, мать Эвелины, когда она сбежала с сэром Джоном Бельмонтом.","Дюваль нарушила свои отношения с дочерью Кэролайн, матерью Эвелины, и с тех пор не признает Эвелину.",0.62
"Canucks подготовили Bordon с их первым выбором, десятым в целом, в 2005 году в проекте NHL.",Он был выбран Blackhawks с третьим общим рекордом в NHL Draft 2006.,0.62
PT лодки были моторными торпедными лодками.,Многие лодки стали известными во время войны.,0.61
"Проверьте системный журнал событий для получения дополнительной информации о том, что могло вызвать эту ошибку.","Пользователю будет показано сообщение об ошибке, и запись будет записана в журнал событий.",0.6
Яра - приятный персонаж.,"Я также чувствовал, что персонажи были хороши, и отношения между Ярой и Брентом освежают и правдоподобны... очень милы и милы.",0.6
Ищите совета у кого-нибудь.,Мне нужен совет по дисциплине?,0.59
"Введите Лиззи, нового викария, все еще оплакивающего потерянную любовь, и Осень, бывшую подругу Лиззи, агностичную мистику.",Лиззи - новый викарий в Лайчфорде.,0.59
Группа людей в костюме собирается на улице на Хэллоуин.,Люди собираются на улице возле поля с футбольной сетью.,0.59
Собака носит палку и прыгает через бревно в лесу.,Чёрная собака прыгает в горизонтальный бар в травяной фильде.,0.59
"Но, очевидно, зомби не помнят о своей жизни до смерти.","В самом деле, зомби книги служат подходящей метафорой для угнетенных времен.",0.59
"Зависит от того, хочешь ли ты шестиструнную или 12-струнную гитару.",Вы можете играть много различных типов песен с шестиструнной гитарой.,0.59
По состоянию на 2000 год в Неве проживало 994 человека.,На 2000 год его население составило 994 человек.,0.59
Спроси ее о ее хобби.,Ты слышал о хобби?,0.59
"Он говорит, что это улучшает мои глаза.","Он говорит, что это улучшает глаз.",0.59
"Хиллари едет в #Baltimore, чтобы стать их чемпионом. #BaltimoreRiots",Где настоящий вопрос в предвыборном магазине?,0.59
Почему бы им не переехать к тебе?,Почему бы им не пригласить тебя на свидание?,0.59
"Многие народные песни являются пентатоническими, или почти пентатоническими.",Песни других популярных детей являются почти пентатоническими.,0.59
Просто закрой глаза и попробуй.,"Закрой глаза и спроси себя, как исцелиться.",0.59
Твоя мать только что начала мне помогать.,Как раз когда я попросил твою маму помочь.,0.59
"Randal «Randy» Keith Orton — американский профессиональный борец, который в настоящее время подписал контракт с World Wrestling Entertainment на Raw.","Мишель Ли Маккул () — американская профессиональная рестлерша, которая в настоящее время работает в World Wrestling Entertainment на бренде SmackDown.",0.59
Он встречался с нашим экспертом по той же судьбе?,Такая же судьба постигла нашего эксперта по Раме?,0.59
"Самая высокая высота - это Вестербекер Берг с 234 м, самая низкая точка - замок Бентлаж с 32 м.","Самая высокая высота увлажняется только верхними слоями морского распылителя, самая низкая — несколько метров глубины.",0.59
"Как и в репликации ДНК, транскрибируется только одна из двух нити ДНК.","Как и в репликации ДНК, ДНК считывается с 3 — 5 во время транскрипции.",0.59
"Кассандра Клэр сосредоточила внимание не только на сенсациях действий, но и на других элементах, которые сделали книгу идеальной.","Когда я закончила эту книгу, я не могла не обнять эту книгу и скандировать, насколько она совершенна.",0.59
Почему ты сам не видишь?,Ты не можешь подтвердить это?,0.59
Не могу дождаться встречи с Джонни Деппом.,Орландо расцветает или Джонни Депп *вздыхает*,0.59
"В среднем, один или два раза в неделю, это когда это бывает у большинства людей.","Хотя, в среднем, я бы сказал, раз или два в неделю, иногда больше.",0.59
"Вместе с Ледом Зеппелином, Оружием и Розами, Ядом, Пинк Флойдом и так далее.",Мне очень нравится Дэвид Боуи и Пинк Флойд.,0.59
"Если бы Риан смогла привести их на работу, она бы получила сильного союзника в вражеский лагерь.","Супруги казались могущественными союзниками в самом сердце лагеря противников, если бы только Риан могла активировать их от ее имени.",0.59
Марсская бригада уже получила сообщение?,Коммандос Бригада уже прибыла с Марса?,0.59
Шотландская социалистическая партия () — шотландская политическая партия левого толка.,Mollet была поддержана левым крылом партии .,0.59
Капитан Королевской гвардии хочет произвести впечатление на скромную служанку?,Капитан Королевской гвардии.,0.59
ИнТРИНСКИЙ сюжет Лани Вудленда - замечательный изобретательный и очень жуткий рассказ о призраках/загадках.,Интриндикальная - очень хорошая книга.,0.59
Он расположен в зоне путешествий 9 .,Станция находится в зоне путешествий 1.,0.59
"Другой родитель является ""родителем, не содержащимся под стражей"", но они могут иметь право на посещение ребенка.","«""родитель, не содержащийся под стражей""» — это родитель, который по решению суда не имеет физического и/или законного опекунства над своим ребенком.",0.59
"Женщина, держащая ребенка, сидит на земле и прислоняется к стене.",Женщина с красноволосыми волосами носит ребенка на груди в носителе.,0.59
Азиат бросает жевлин в жёлтую рубашку.,Толстяк Джавелин в темной рубашке и готов к броску.,0.59
Тем не менее экономический спад тяжело сказывается на государственных финансах Италии.,По-прежнему существует необходимость в совершенствовании управления государственными финансами.,0.59
Маленький ребёнок делает из себя старого мужчину в кожаной куртке.,Ребёнок в синей толстовке делает смешное лицо рядом с фургоном.,0.59
Маленький ребенок держится за повешенных резиновых цыплят.,"Ребёнок смеется, когда играет с большой птицей.",0.59
"зависит от того, где пирсинг","Зависит от того, где они.",0.59
В случае пожара подъемник не должен использоваться.,Ты не должен использовать лифт в пожаре.,0.59
"Скажи ей, чтобы ушла от тебя.",Оставь ее!,0.59
"Мы в курсе ситуации», — сказал помощник прокурора США Тодд Гринберг, прокурор по борьбе с терроризмом в Сиэтле.","Мы тратим все имеющиеся ресурсы на расследование», — сказал помощник прокурора США Тодд Гринберг, прокурор по борьбе с терроризмом в Сиэтле.",0.59
"В математике кольцо представляет собой алгебраическую структуру, состоящую из набора вместе с двумя операциями: добавление и умножение.","Таким образом, этот набор действительно образует кольцо в рамках данных операций добавления и умножения .",0.59
"Кира - фантастический главный персонаж, у нее огромное количество смелости, и я бы хотел быть таким же человеком, как я!","Я думаю, Кира - типичный подросток.",0.59
Двое маленьких детей дуют пузыри на стуле.,"Девочка в красной рубашке, дующая пузырь",0.59
"Carukia Barnesi — вид медузов, известный как медуза.","Также неизвестно, какие виды медузы могут вызывать синдром Ируканджи, кроме Каруки Барнеси и Мало Кинги.",0.59
"Первым фургоном, одетым в транзитный значок, был Taunus Transit.",С 1961 года эта машина называлась Ford Taunus Transit.,0.57
"Многие Чейз, хотели бы немного больше Охотника, но были довольны концом.","Я бы лучше закончил с комментарием Хантера ""домашний"", вместо того, чтобы закончить со скачком Чейза - это бы сделало книгу более законченной.",0.57
"В 2006 году Оли Уорнер проанализировал влияние различных приложений Windows и антивирусного программного обеспечения, включая Norton Internet Security 2006.","Тестирование в 2008 году компанией Pass Mark Software обнаружило, что Norton Internet Security 2009 оказал наименьшее влияние на эффективность системы в тестированном антивирусном программном обеспечении.",0.57
"Один бейсбольный игрок скатился на вторую базу, а другой вот-вот поймает мяч в попытке выбраться.","Человек наклоняется вперед, чтобы поймать бейсбольный мяч, а бегун приближается к базе.",0.56
Город Музаффаргарх () — столица города.,В 1859 году штаб-квартира была переведена в Музаффаргарх.,0.56
"Рыков вернулся из Сибири после февральской революции 1917 года и вернулся в большевики, хотя и оставался скептически настроенным на их более радикальные наклонности.",Во время революции в Петрограде в 1917 году герцог Александр и его жена герцогиня София были убиты большевиками.,0.56
"Твоя жизнь, твое тело, твой выбор. #womenshealth #womensrights","Это дискуссия о нашем понимании человеческого достоинства/что значит быть членом 0 человеческой семьи/даже маленькой, беспомощной.",0.56
Коричневый и чёрный пёс дрочат на траву.,Коричневая собака роет дыру.,0.56
"Перси свяжется с Айрис-Мессажом, обманув Люка, чтобы он признался, что отравил дерево Талии.","Перси и Гровер почти к дереву, которое отмечает границу лагеря , когда Минотавр заряжает .",0.56
Рассмотрим этот совет на более позднем этапе жизни.,Мне нужен совет по дисциплине?,0.56
"@realDonaldTrump Мне все равно, что говорит @NASCAR! Мне все равно, что говорят либералы @espn.",Я голосую за Дональда Трампа на этих выборах,0.56
"Вип () — столица округа Вип в кантоне Вале, Швейцария.",Винная индустрия кантона является самой крупной в Швейцарии.,0.56
РТ @dave_gosh: Im Prolife и Abortion всегда отбирали жизнь! #Choose Life #Cristians #Profify...,"У неё есть мозг, сердце, и своя уникальная ДНК, а не у ее матери. Она жива и человек. Пожалуйста, не убивай ее.",0.56
"Это лучшая рок-н-ролл-группа, которую я видел.",рок-н-ролл от ритмов до хауторн-хигс все рок-калы,0.56
"Джек обнаруживает, что Файна была ребёнком местного пьяного, который умер в пустыне, оставив ее расти в одиночестве.","Фаина, призрачная девушка из ""Снежного ребенка"", - застенчивая, дикая вещь, которая процветает в снежной пустыне недонаселенной Аляски.",0.56
"Связь между Тэйдж и Джиллиан, которая могла быть удобным поворотом в сюжете, была любопытной.","Тейдж и Каллен были милыми, но электрическими, парами.",0.56
"Я люблю лав, но мой ребёнок просто танцует.","Я люблю танцевать, но у меня просто ребенок.",0.56
"Например: « Если бы я прожил тысячу лет, то принадлежу вам для всех.","Я лучше умру с твоим вкусом на моем языке, чем буду жить и больше никогда не прикасаться к тебе.",0.56
Несколько строителей смотрят на эскалатор,"Трое строителей, работающих на внутренней части здания.",0.56
Группа людей на разных цветных лодках наслаждается великим днем на воде.,"В солнечный день четыре человека, в цветных каяках, находятся в воде.",0.56
"Бабушка Джейн Рути (как Черная Вдова) встретила кого-то нового, кто может быть не тем, кем он кажется.",Что такое новая любовь бабушки Рути?,0.56
"Я тебя не целовал, не так ли?","Я ведь не должна тебя целовать, да?",0.56
"@realDonaldTrum просто говорит то, что большинство думает, вы должны отдать ему должное #Trump4POTUS","@realDonaldTrump держит это в тайне, мистер Трамп, когда Демс и Репус атакуют - вы знаете, что вы делаете это правильно! #MakeAmericaGreatAgain",0.56
Каждый человек должен иметь право делать свой собственный репродуктивный выбор и принимать меры по безопасному медицинскому лечению без стигматизации.,"@BarakoObama празднует «равноправие», в то время как 3000 нерожденных детей были убиты сегодня.",0.56
"Нет, у меня будет контракт на следующей неделе.",На следующей неделе у меня будет контракт с рекордами.,0.56
На Нью-Йоркской фондовой бирже число авангардов сократилось чуть больше чем на 3 к 1.,На Нью-Йоркской фондовой бирже число отказников превысило 8 к 5.,0.56
Человек в коричневом костюме стоит рядом с штурвалом корабля.,"Человек с тёмными волосами и коричневым пиджаком хмурится, стоя в снегу.",0.56
"Его отцом был Фидиас, астроном, и, возможно, он был в семье царя Сиракузского.","В песчаном песке Архимедес назвал своего отца Фидиасом, астрономом, о котором ничего не известно.",0.56
"Лана замечательная, и я не могу дождаться, когда прочитаю их больше.",Мне действительно понравилось первое приключение Ланы Харви.,0.56
Оставьте комнату и выйдите наружу.,Оставь ее!,0.56
Маленькая записка о Менчерах.,"Я не знаю, хочу ли я узнать больше о Менчерах.",0.56
"Мы получаем все плохие #Mexicans... за исключением тех, кто построил вашу империю, конечно. #TrumbedFacts #Deliful #GTFOH","На самом деле #DonaldTramp, все мексиканские люди насильники, но вы предполагаете, что некоторые из них хорошие люди... #DiotNation #facepalm",0.56
"Маркус не знает, что Фармир существует.",Фармир следует за приключениями Маркуса и Кайи.,0.56
Трое рабочих в жилетах и жестких шляпах положили цемент.,Строительные рабочие в белых жёстких шляпах работают на улице.,0.56
"Две девушки держатся за руки и прыгают, когда они идут по пляжу.","Человек в зелёной шляпе и голубых плавках, загорающих на пляже.",0.56
"Барни - динозавр, его воображение...",Какую песню поёт Барни Пурпурный динозавр?,0.56
В 1981 году Везина Трофи был поделён с Денисом Херроном и Ричардом Севиньи.,В 1967 году он делил Везину Трофи с Гленн Холл.,0.56
Послушай радио или музыку.,Музыка Yahoo или радио.,0.56
Снежный ребенок был редким и прекрасным путешествием.,"Так это происходит в ""Снежном ребенке"".",0.56
Королева имеет замок в Виндзоре под названием Виндзорский замок.,Это место лучше всего известно как место Виндзорского замка.,0.56
"Саи Баба из Ширди был духовным мастером, который жил в Индии.",Поклонники Ширди Саи Бабы распространились по всей Индии.,0.56
Отличный способ закончить первую часть этой серии.,"Одна из моих любимых в этой серии, я читала ее много раз.",0.56
"Люблю книги ""Риярия"" и с нетерпением жду выхода серии ""Первая империя"".","Я сразу же взял первую, затем вторую, а теперь, наконец, эту книгу Орехов Риярии.",0.56
"Лили Правило - детектив полиции Сан-Диего, которому поручено расследовать убийство, которое может быть делом оборотня.","Когда правило узнает, что его клан будет расследован в убийстве, он предлагает стать экспертом клана Лили.",0.56
У человека с черной футболкой и черными джинсами рядом с рекой есть бумажник.,Мужчина в рубашке с длинными рукавами стоит перед рекой с двумя женщинами.,0.53
Коричневый и чёрный пёс дрочат на траву.,"Коричневая собака, стоящая в воде.",0.53
Позднее в 1993 году в ходе поисков с космическим телескопом Хаббла не было обнаружено спутников .,"Его не видели до тех пор, пока космический телескоп Хаббла не восстановил его в 2003 году.",0.53
